name,bar,transaction_id,subtotal,tip,total
Abel Graziano,Clover Club,288448,37.28,0.14,45.44
Abel Graziano,The Honeywell,824653,69.19,0.11,82.23
Abel Graziano,The NoMad Bar,360824,62.07,0.11,73.84
Abel Graziano,The NoMad Bar,392450,19.46,0.14,23.65
Abel Graziano,The NoMad Bar,532674,32.93,0.12,39.61
Abel Graziano,The NoMad Bar,763201,29.44,0.15,36.3
Abel Graziano,The NoMad Bar,815522,125.72,0.11,149.93
Addie Mcsorley,Northern Soul,786280,44.64,0.15,54.94
Addie Mcsorley,The Aviary NYC,257482,38.38,0.19,48.89
Addie Mcsorley,Zack’s Oak Bar & Restaurant,870698,51.33,0.17,64.43
Adele Dickerson,DC’s Tavern,238414,65.14,0.15,80.16
Adele Dickerson,G.Millz Boken Roadhouse,172194,32.21,0.11,38.1
Adele Dickerson,G.Millz Boken Roadhouse,222542,63.81,0.16,79.37
Adele Dickerson,G.Millz Boken Roadhouse,566187,37.9,0.14,46.14
Adele Dickerson,G.Millz Boken Roadhouse,691691,46.92,0.13,56.55
Adele Dickerson,G.Millz Boken Roadhouse,945296,37.89,0.19,48.13
Adele Dickerson,G.Millz Boken Roadhouse,965109,170.92,0.2,218.69
Adina Tewksbury,Black Bear Bar & Grill,909993,53.79,0.16,66.82
Adina Tewksbury,Louise & Jerry’s,994170,64.8,0.12,77.61
Adria Ostroff,Broken Shaker,378301,74.72,0.16,92.62
Adria Ostroff,Dutch Kills,164667,33.88,0.13,41.02
Adria Ostroff,Rocking Horse Saloon,284423,44.35,0.16,54.96
Adriane Boaz,Employees Only,758311,40.31,0.17,50.35
Adriane Boaz,Moran’s,851187,8.98,0.16,11.11
Adrianna Carstens,Mayahuel,723184,73.79,0.19,94.24
Adrianna Carstens,Pegu Club,430355,17.88,0.16,22.2
Adrien Ladd,Black Bear Bar & Grill,288101,25.39,0.19,32.33
Adrien Ladd,Black Bear Bar & Grill,390363,73.55,0.15,90.58
Adrien Ladd,Black Bear Bar & Grill,451507,19.42,0.15,23.8
Adrien Ladd,Black Bear Bar & Grill,667534,45.81,0.11,54.46
Adrien Ladd,Black Bear Bar & Grill,685332,15.93,0.17,19.92
Adrien Ladd,Black Bear Bar & Grill,840861,46.82,0.12,56.12
Adrien Ladd,Cooper’s Union,538624,24.93,0.13,30.14
Adrien Ladd,Cooper’s Union,879624,53.33,0.16,66.17
Adrien Ladd,Phoenix Bar and Grille,644747,104.6,0.12,125.67
Adriene Sigg,Blind Tiger Ale House,885760,10.47,0.14,12.77
Adriene Sigg,Primo’s,979927,60.83,0.19,77.64
Adriene Sigg,The Blind Pig Pizza,794327,3.99,0.19,5.08
Agueda Paek,Broken Shaker,284310,65.96,0.11,78.09
Agueda Paek,Holiday Cocktail Lounge,701276,24.4,0.12,29.32
Agueda Paek,The NoMad Bar,108006,54.38,0.14,66.53
Agueda Paek,The NoMad Bar,227524,53.85,0.16,67.04
Agueda Paek,The NoMad Bar,619496,4.39,0.12,5.25
Agueda Paek,The NoMad Bar,871699,104.97,0.11,124.88
Agueda Paek,Tørst,541318,46.87,0.14,57.38
Agueda Treat,Angel’s Share,527972,36.31,0.12,43.4
Agueda Treat,Angel’s Share,562777,76.48,0.18,96.64
Agueda Treat,Angel’s Share,603299,66.97,0.1,78.94
Agueda Treat,Angel’s Share,614313,66.02,0.12,79.21
