name, bar, transaction_id, item, quantity, price
Babara Dempster,Zack’s Oak Bar & Restaurant,422417,Pabst Blue Ribbon,1,2.99
Babara Dempster,Zack’s Oak Bar & Restaurant,422417,Michelob Original Lager,2,3.49
Babara Dempster,Zack’s Oak Bar & Restaurant,422417,Michelob Ultra,2,3.49
Babara Dempster,Zack’s Oak Bar & Restaurant,422417,Coors Light,1,2.49
Andria Valadez,Aldo Sohm Wine Bar,771494,Samuel Adams Boston Lager,5,2.49
Andria Valadez,Aldo Sohm Wine Bar,771494,Hoegaarden Original White Ale,5,3.49
Andria Valadez,Aldo Sohm Wine Bar,771494,Rolling Rock Extra Pale Ale,3,3.49
Andria Valadez,Aldo Sohm Wine Bar,771494,Carlsberg Export,2,3.99
Andria Valadez,Aldo Sohm Wine Bar,771494,Coors Banquet,4,2.49
Andria Valadez,Aldo Sohm Wine Bar,771494,Salmon,1,19.99
Andria Valadez,Aldo Sohm Wine Bar,771494,Chicken Cheesesteak,3,12.99
Andria Valadez,Aldo Sohm Wine Bar,771494,Buffalo Chicken Cheesesteak,3,13.99
Shana Lerma,Rocking Horse Saloon,592424,Coors Light,3,2.49
Shana Lerma,Rocking Horse Saloon,592424,Yuengling Traditional Amber Lager,3,2.99
Shana Lerma,Rocking Horse Saloon,592424,Keystone Light,4,2.49
Shana Lerma,Rocking Horse Saloon,592424,Michelob Light,1,3.49
Milton Stenberg,The Russian Lady,320760,Coors Light,1,2.49
Milton Stenberg,The Russian Lady,320760,60 Minute IPA,5,4.99
Adrien Ladd,Cooper’s Union,538624,Dos Equis Amber Lager,4,2.99
Adrien Ladd,Cooper’s Union,538624,Amstel Lager,2,4.99
Adrien Ladd,Cooper’s Union,538624,George Killian’s Irish Red,1,2.99
Orville Critchlow,The Blind Pig Pizza,901380,Sierra Nevada Pale Ale,4,2.49
Orville Critchlow,The Blind Pig Pizza,901380,Michelob Original Lager,4,3.49
Candace Mcalpin,The Winston,376614,Miller High Life,5,1.99
Candace Mcalpin,The Winston,376614,Yuengling Premium Beer,4,2.49
Candace Mcalpin,The Winston,376614,Keystone Light,3,1.99
Britney Tyre,The Russian Lady,136658,Yuengling Traditional Amber Lager,3,2.99
Britney Tyre,The Russian Lady,136658,Amstel Lager,4,4.99
Britney Tyre,The Russian Lady,136658,Heineken Light Lager,1,2.89
Britney Tyre,The Russian Lady,136658,Shiner Bock,2,3.99
Ollie Risher,Slowly Shirley,584515,Yuengling Premium Beer,4,4.49
Ollie Risher,Slowly Shirley,584515,Bud Lite Platinum,2,3.99
Ollie Risher,Slowly Shirley,584515,Corona Light,1,3.99
Shanon Kyle,Finnegan’s Pub,765946,Labatt Blue,3,2.99
Shanon Kyle,Finnegan’s Pub,765946,Tecate,1,2.49
Genevieve Schrage,L BAR,172597,Samuel Adams Boston Lager,4,2.49
Genevieve Schrage,L BAR,172597,Coors Light,3,2.49
Genevieve Schrage,L BAR,172597,90 Minute IPA,4,5.25
Irene Deluca,McSorley’s Old Ale House,630987,Samuel Adams Octoberfest,5,3.49
Irene Deluca,McSorley’s Old Ale House,630987,Corona Light,5,3.49
Gala Hong,Slowly Shirley,433233,Molson Canadian Lager,5,5.49
Gala Hong,Slowly Shirley,433233,Yuengling Premium Beer,1,4.49
Gala Hong,Slowly Shirley,433233,Paulaner,3,4.49
Gala Hong,Slowly Shirley,433233,Bud Lite Platinum,2,3.99
Shelby Merrill,Northern Soul,922660,Sapporo Premium Lager,2,2.49
Shelby Merrill,Northern Soul,922660,Labatt Blue Light,3,1.99
Barton Toews,Rocking Horse Saloon,475781,Michelob Original Lager,7,3.49
Barton Toews,Rocking Horse Saloon,475781,Hoegaarden Original White Ale,2,3.49
Barton Toews,Rocking Horse Saloon,475781,Busch,1,3.99
Barton Toews,Rocking Horse Saloon,475781,Keystone Light,9,2.49
Barton Toews,Rocking Horse Saloon,475781,Coors Light,5,2.49
Hillary Borth,Finnegan’s Pub,838744,Lagunitas IPA,3,2.99
Hillary Borth,Finnegan’s Pub,838744,Heineken Light Lager,2,2.89
Hillary Borth,Finnegan’s Pub,838744,Tecate,5,2.49
Hillary Borth,Finnegan’s Pub,838744,Beck’s,4,5.95
Hillary Borth,Finnegan’s Pub,838744,Yuengling Traditional Amber Lager,5,2.99
Hillary Borth,Finnegan’s Pub,838744,Yuengling Traditional Amber Lager,3,2.99
Hillary Borth,Finnegan’s Pub,838744,Fat Tire Belgian Style Ale,1,2.99
Ronald Bodin,Dutch Kills,608927,Amstel Lager,1,4.49
Ronald Bodin,Dutch Kills,608927,Heineken Premium Light Lager,1,2.39
Ronald Bodin,Dutch Kills,608927,Pilsner Urquell,3,2.49
Ronald Bodin,Dutch Kills,608927,Carlsberg Export,1,3.49
Ronald Bodin,Dutch Kills,608927,Budweiser,5,2.49
Cecily Shorey,L BAR,975506,Carlsberg Export,3,3.99
Cecily Shorey,L BAR,975506,90 Minute IPA,3,5.25
Cecily Shorey,L BAR,975506,Bud Lite,4,2.49
Sonya Crumrine,Side Bar,260730,Busch,6,4.49
Sonya Crumrine,Side Bar,260730,Corona Light,1,2.99
Sonya Crumrine,Side Bar,260730,Fat Tire Belgian Style Ale,9,3.49
Sonya Crumrine,Side Bar,260730,Tsingtao Beer,1,3.49
Sonya Crumrine,Side Bar,260730,Sierra Nevada Pale Ale,4,2.99
Stephane You,Moran’s,436092,Coors Banquet,2,3.99
Stephane You,Moran’s,436092,Miller High Life,5,3.99
Stephane You,Moran’s,436092,Tsingtao Beer,5,4.49
Stephane You,Moran’s,436092,Cheese Fries,4,4.99
Hershel Grill,Side Bar,565286,Fat Tire Belgian Style Ale,1,3.49
Hershel Grill,Side Bar,565286,Corona Light,1,2.99
Hershel Grill,Side Bar,565286,Busch,4,4.49
Hershel Grill,Side Bar,565286,Rolling Rock Extra Pale,1,3.49
Hershel Grill,Side Bar,565286,Budweiser,3,3.49
Kami Alred,Please Don't Tell,691792,Michelob Ultra,2,4.99
Kami Alred,Please Don't Tell,691792,Keystone Light,3,3.99
Kami Alred,Please Don't Tell,691792,Natural Ice,8,3.99
Kami Alred,Please Don't Tell,691792,Grolsch Premium Lager,4,4.49
