transaction_id,drinker_name,bar_name,time,date,subtotal,tip,total
288448,Abel Graziano,Clover Club,00:28:05,2018-11-16,37.28,7.03,46.92
824653,Abel Graziano,The Honeywell,22:42:00,2018-11-29,69.19,9.27,83.3
360824,Abel Graziano,The NoMad Bar,16:20:12,2018-11-3,62.07,10.82,77.24
392450,Abel Graziano,The NoMad Bar,00:52:01,2018-11-23,19.46,2.54,23.36
532674,Abel Graziano,The NoMad Bar,21:37:58,2018-11-23,32.93,5.89,41.13
763201,Abel Graziano,The NoMad Bar,12:51:29,2018-11-2,29.44,3.85,35.35
815522,Abel Graziano,The NoMad Bar,20:44:45,2018-11-20,125.72,15.35,149.87
786280,Addie Mcsorley,Northern Soul,12:01:32,2018-11-30,44.64,6.96,54.72
257482,Addie Mcsorley,The Aviary NYC,00:17:35,2018-11-1,38.38,7.18,48.25
870698,Addie Mcsorley,Zack's Oak Bar & Restaurant,23:38:20,2018-11-1,51.33,8.24,63.16
238414,Adele Dickerson,DC's Tavern,23:36:00,2018-11-1,65.14,11.24,80.94
172194,Adele Dickerson,G.Millz Boken Roadhouse,11:33:39,2018-11-2,32.21,5.68,40.15
222542,Adele Dickerson,G.Millz Boken Roadhouse,00:12:00,2018-11-29,63.81,8.51,76.79
566187,Adele Dickerson,G.Millz Boken Roadhouse,17:13:30,2018-11-13,37.9,6.85,47.4
691691,Adele Dickerson,G.Millz Boken Roadhouse,16:50:29,2018-11-30,46.92,4.95,55.15
945296,Adele Dickerson,G.Millz Boken Roadhouse,21:47:22,2018-11-29,37.89,6.87,47.42
965109,Adele Dickerson,G.Millz Boken Roadhouse,01:10:44,2018-11-24,170.92,20.44,203.32
909993,Adina Tewksbury,Black Bear Bar & Grill,21:26:18,2018-11-16,53.79,9.8,67.35
994170,Adina Tewksbury,Louise & Jerry's,03:00:00,2018-11-26,64.8,10.42,79.76
378301,Adria Ostroff,Broken Shaker,16:11:44,2018-11-23,74.72,7.75,87.7
164667,Adria Ostroff,Dutch Kills,11:22:40,2018-11-4,33.88,6.74,42.99
284423,Adria Ostroff,Rocking Horse Saloon,23:27:25,2018-11-6,44.35,5.79,53.24
758311,Adriane Boaz,Employees Only,00:42:00,2018-11-12,40.31,7.94,51.08
851187,Adriane Boaz,Moran's,17:52:50,2018-11-10,8.98,1.6,11.21
723184,Adrianna Carstens,Mayahuel,17:43:27,2018-11-5,73.79,13.71,92.66
430355,Adrianna Carstens,Pegu Club,20:19:19,2018-11-1,17.88,2.03,21.16
288101,Adrien Ladd,Black Bear Bar & Grill,16:53:41,2018-11-3,25.39,3.45,30.62
390363,Adrien Ladd,Black Bear Bar & Grill,17:29:34,2018-11-24,73.55,11.22,89.92
451507,Adrien Ladd,Black Bear Bar & Grill,01:06:00,2018-11-29,19.42,2.05,22.83
667534,Adrien Ladd,Black Bear Bar & Grill,17:30:17,2018-11-2,45.81,7.15,56.16
685332,Adrien Ladd,Black Bear Bar & Grill,11:14:22,2018-11-10,15.93,2.32,19.37
840861,Adrien Ladd,Black Bear Bar & Grill,00:28:17,2018-11-27,46.82,6.43,56.53
538624,Adrien Ladd,Cooper's Union,00:05:08,2018-11-30,24.93,3.2,29.87
879624,Adrien Ladd,Cooper's Union,02:45:18,2018-11-6,53.33,9.81,66.87
